structure,method,folder,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347
structure57,bfgs,random,0.416613,0.003873,0.000552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
structure4,bfgs,random,0.417121,0.003817,0.000483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
structure5,bfgs,random,0.419595,0.004425,0.000656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
structure65,bfgs,random,22.287918,9.126529,7.543973,7.341801,7.002216,9.447515,5.376614,3.412129,2.999858,1.815858,1.266033,1.257236,1.945251,1.255175,1.560276,1.236223,1.296129,1.079191,0.966557,0.787555,0.299619,0.277411,0.190209,0.218786,0.225647,0.313804,0.418980,0.401327,0.370922,0.339357,0.318061,0.293602,0.306243,0.212723,0.192202,0.203626,0.203138,0.164794,0.152325,0.234718,0.201774,0.227460,0.563756,0.670489,0.611083,0.474186,0.434401,0.329115,0.187538,0.187375,0.345256,0.323785,0.226905,0.155647,0.118985,0.123941,0.129111,0.078363,0.068745,0.038605,0.029392,0.011637,0.003947,0.000855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
structure1,bfgs,rattled,0.418174,0.005665,0.001076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
structure2,bfgs,rattled,0.419631,0.004451,0.000710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
structure1,conj,random,26.153688,30.937696,7.573414,7.262433,5.368166,4.851140,6.439556,3.374507,3.417856,2.446693,1.797666,2.000249,2.217319,1.713868,1.286762,1.103273,1.193532,1.450554,1.324505,1.149213,0.786178,0.789178,0.688213,0.789072,0.983486,1.179094,0.942601,0.963693,0.771759,0.744655,0.509065,0.467182,0.554191,0.513581,0.485833,0.445036,0.551248,0.544774,0.664502,0.797337,0.777423,0.549213,0.559665,0.483124,0.476092,0.617464,0.508702,0.370663,0.407420,0.368742,0.299601,0.278537,0.347922,0.381890,0.473920,0.379593,0.467131,0.507323,0.567140,0.645982,0.423929,0.322746,0.339508,0.274356,0.274046,0.394736,0.367049,0.262630,0.287070,0.268964,0.231971,0.204859,0.256442,0.279777,0.283654,0.245437,0.287043,0.342683,0.372212,0.365869,0.217800,0.341386,0.253221,0.216495,0.191352,0.220859,0.251849,0.252786,0.206460,0.300136,0.151571,0.190889,0.234509,0.227592,0.227898,0.260640,0.344652,0.443549,0.460511,0.448208,0.420789,0.328239,0.371545,0.270783,0.244107,0.171749,0.235488,0.218810,0.211658,0.442289,0.307198,0.174338,0.185127,0.190360,0.187280,0.239224,0.253010,0.283950,0.217517,0.319628,0.208329,0.210300,0.242159,0.147972,0.120613,0.123745,0.182376,0.190984,0.140366,0.126339,0.081408,0.118759,0.133006,0.086541,0.163694,0.142050,0.121915,0.112823,0.129375,0.124676,0.079438,0.074018,0.064893,0.103024,0.121216,0.164291,0.145905,0.147105,0.131452,0.189725,0.108067,0.087896,0.062044,0.060826,0.048876,0.056072,0.065076,0.070116,0.084537,0.086671,0.075727,0.055486,0.040950,0.034501,0.054777,0.045038,0.042374,0.053843,0.123329,0.266448,0.111958,0.121573,0.075203,0.051698,0.070192,0.136829,0.105407,0.092296,0.127081,0.149072,0.064134,0.077270,0.076520,0.074692,0.111970,0.166110,0.131975,0.173928,0.172685,0.241816,0.093589,0.122343,0.082239,0.113665,0.111538,0.103412,0.078538,0.074708,0.120780,0.201744,0.077457,0.067523,0.092373,0.101509,0.167748,0.203438,0.194872,0.227926,0.235199,0.302406,0.171949,0.279344,0.282905,0.114552,0.079136,0.161860,0.157332,0.177154,0.153720,0.205679,0.106880,0.147516,0.127598,0.255392,0.461312,0.609070,0.395665,0.486989,0.956973,1.073887,0.858611,0.379685,0.421417,0.737887,0.687849,0.729553,0.755616,0.513692,0.489439,0.339268,0.307472,0.242146,0.242033,0.208248,0.497834,0.509389,0.371172,0.281902,0.242361,0.183249,0.150049,0.155542,0.165385,0.198123,0.198005,0.282293,0.198171,0.261992,0.178961,0.220383,0.114298,0.130748,0.099403,0.073897,0.085274,0.071688,0.074263,0.058492,0.071761,0.084749,0.053342,0.052959,0.053126,0.046613,0.045044,0.056525,0.054553,0.053235,0.040369,0.087022,0.038194,0.040884,0.035019,0.035114,0.032061,0.021378,0.018859,0.025483,0.026992,0.020582,0.017277,0.022293,0.022460,0.017909,0.016717,0.015405,0.023424,0.028133,0.035091,0.046965,0.038799,0.017905,0.010057,0.017808,0.012295,0.014105,0.019984,0.015507,0.010628,0.009897,0.010433,0.020699,0.023110,0.019233,0.013684,0.013183,0.013036,0.012964,0.012947,0.012942,0.012940,0.012939,0.012939,,,,,,,,,,,,,,,,,,,,,,,,,
structure57,conj,random,36.523722,13.410267,8.568949,6.097445,3.021298,3.216024,2.259055,2.196026,2.187116,2.014606,1.335786,1.170089,1.587657,1.742252,1.579740,1.612718,1.716570,1.775465,1.438907,1.276180,0.929504,0.864207,0.975815,0.534344,0.512954,0.494539,0.490510,0.443907,0.518600,0.458282,0.324855,0.290437,0.322139,0.311515,0.302497,0.290998,0.421739,0.364247,0.383409,0.472029,0.305386,0.277903,0.446253,0.761794,0.731570,0.625258,0.572637,0.764224,0.579624,0.590231,0.462022,0.574619,0.512793,0.673925,0.697198,0.595446,0.497665,0.377421,0.392701,0.345911,0.293993,0.280983,0.325461,0.328363,0.249686,0.198887,0.217886,0.204664,0.224213,0.256244,0.187899,0.203591,0.183152,0.279705,0.309580,0.418474,0.482919,0.305958,0.243613,0.226627,0.174861,0.167532,0.183569,0.144535,0.096145,0.082640,0.107208,0.077763,0.063017,0.071956,0.041886,0.048464,0.069229,0.072077,0.057270,0.061353,0.069349,0.079161,0.075940,0.071905,0.048007,0.030675,0.032447,0.027936,0.021888,0.026979,0.032360,0.033153,0.028723,0.026026,0.020172,0.018864,0.013282,0.012019,0.011778,0.008669,0.020094,0.018988,0.016364,0.013084,0.011207,0.009121,0.018732,0.018604,0.016948,0.018117,0.016186,0.012353,0.013319,0.015907,0.010930,0.006279,0.005148,0.005606,0.006883,0.010098,0.015596,0.012291,0.009347,0.006454,0.003466,0.002353,0.002428,0.002242,0.002615,0.002527,0.002379,0.002467,0.003389,0.002798,0.002290,0.001823,0.001395,0.001331,0.000966,0.000728,0.000876,0.000923,0.000674,0.000791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
structure4,conj,random,31.391907,9.633754,10.323993,9.744716,9.373926,10.122750,7.875622,5.169000,5.432087,5.549823,3.629462,3.544090,3.584659,4.077131,3.148754,1.952356,2.341955,1.673606,1.016826,0.931426,0.608768,0.832445,1.572372,1.307255,1.345907,1.180695,0.945111,0.875254,0.629102,0.870446,0.433242,0.484983,0.643537,0.715902,0.811493,0.606835,0.585225,0.455597,0.412222,0.409668,0.280863,0.316378,0.386136,0.370384,0.437465,0.433509,0.662409,0.624895,0.610149,0.825877,0.489871,0.429695,0.719992,0.422632,0.418173,0.342918,0.289638,0.335530,0.221584,0.240261,0.174612,0.192089,0.168232,0.162882,0.152494,0.165681,0.205260,0.172187,0.128028,0.098198,0.074672,0.087568,0.081079,0.058509,0.054263,0.068635,0.091137,0.082497,0.084481,0.128089,0.064434,0.050863,0.055259,0.053034,0.046198,0.043704,0.048943,0.055925,0.047974,0.081445,0.042221,0.050243,0.042285,0.034281,0.040714,0.043630,0.040729,0.034966,0.044555,0.066741,0.037900,0.032381,0.039601,0.036423,0.033335,0.029503,0.029728,0.036251,0.030813,0.052103,0.027846,0.030343,0.026066,0.026839,0.030653,0.026099,0.027509,0.020995,0.045943,0.076558,0.032820,0.020491,0.014849,0.014791,0.024046,0.022891,0.012286,0.010608,0.009113,0.021028,0.017225,0.015320,0.014904,0.014688,0.014582,0.014582,0.014582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
structure65,conj,random,22.287918,15.240717,6.444002,5.341341,4.995190,4.405720,3.388529,3.572728,2.813873,1.874484,1.736579,1.908897,1.705407,1.881883,1.616850,1.404716,1.018780,0.784477,0.908643,1.125089,0.766374,0.627209,0.663624,0.763974,0.688547,0.685903,0.469950,0.421365,0.389400,0.320012,0.286316,0.257639,0.187926,0.222613,0.310960,0.231789,0.246325,0.252156,0.270433,0.433682,0.169405,0.176255,0.181098,0.178853,0.242421,0.298607,0.245260,0.241447,0.273172,0.220826,0.212128,0.179519,0.132128,0.135533,0.130458,0.113896,0.097772,0.107344,0.110380,0.172245,0.089017,0.085830,0.082582,0.102833,0.168383,0.202812,0.255847,0.292654,0.312809,0.236515,0.149682,0.199482,0.187107,0.163240,0.196719,0.132005,0.197430,0.140315,0.138286,0.179408,0.120622,0.096498,0.206879,0.240424,0.219816,0.259711,0.437953,0.712980,0.478398,0.636328,0.303014,0.327981,0.189628,0.337013,0.349316,0.210125,0.211553,0.229242,0.332528,0.451585,0.262665,0.221536,0.194169,0.226655,0.391659,0.767991,0.706844,0.598708,0.671078,0.895603,0.775554,0.635764,0.557020,0.534745,0.291278,0.307941,0.143893,0.123367,0.064912,0.054246,0.039142,0.046518,0.023318,0.030600,0.029745,0.018971,0.013851,0.013982,0.020266,0.015516,0.014348,0.009438,0.011961,0.012073,0.019647,0.015377,0.010974,0.015411,0.012236,0.017502,0.007775,0.007191,0.005161,0.010263,0.009720,0.007107,0.007626,0.006230,0.006359,0.008828,0.005212,0.003977,0.004425,0.004365,0.005193,0.005870,0.005692,0.004322,0.005859,0.004096,0.004386,0.002388,0.001939,0.001524,0.001864,0.001281,0.001119,0.000975,0.000742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
