structure,method,folder
structure57,bfgs,random
structure4,bfgs,random
structure5,bfgs,random
structure65,bfgs,random
structure1,bfgs,rattled
structure2,bfgs,rattled
structure1,conj,random
structure57,conj,random
structure4,conj,random
structure65,conj,random
structure1,conj,rattled
structure2,conj,rattled
structure89,switch0.1,random
structure57,switch0.1,random
structure4,switch0.1,random
structure5,switch0.1,random
structure65,switch0.1,random
structure1,switch0.1,rattled
structure2,switch0.1,rattled
structure89,switch_o,random
structure57,switch_o,random
structure4,switch_o,random
structure65,switch_o,random
structure1,switch_o,rattled
structure2,switch_o,rattled
structure89,switch0.5,random
structure57,switch0.5,random
structure4,switch0.5,random
structure65,switch0.5,random
structure1,switch0.5,rattled
structure2,switch0.5,rattled
