,structure,folder,real_cutoff,reciprocal_cutoff
0,structure100,random,2,1
0,structure101,random,2,1
0,structure102,random,2,1
0,structure103,random,2,1
0,structure104,random,2,1
0,structure105,random,2,1
0,structure106,random,2,1
0,structure107,random,2,1
0,structure108,random,2,1
0,structure109,random,2,1
0,structure10,random,2,1
0,structure110,random,2,1
0,structure111,random,2,1
0,structure112,random,2,1
0,structure113,random,2,1
0,structure114,random,2,1
0,structure115,random,2,1
0,structure116,random,2,1
0,structure117,random,2,1
0,structure118,random,2,1
0,structure119,random,2,1
0,structure11,random,2,1
0,structure120,random,2,1
0,structure121,random,2,1
0,structure122,random,2,1
0,structure123,random,2,1
0,structure124,random,2,1
0,structure125,random,2,1
0,structure126,random,2,1
0,structure127,random,2,1
0,structure128,random,2,1
0,structure129,random,2,1
0,structure12,random,2,1
0,structure130,random,2,1
0,structure131,random,2,1
0,structure132,random,2,1
0,structure133,random,2,1
0,structure134,random,2,1
0,structure135,random,2,1
0,structure136,random,2,1
0,structure137,random,2,1
0,structure138,random,2,1
0,structure139,random,2,1
0,structure13,random,2,1
0,structure140,random,2,1
0,structure141,random,2,1
0,structure142,random,2,1
0,structure143,random,2,1
0,structure144,random,2,1
0,structure145,random,2,1
0,structure146,random,2,1
0,structure147,random,2,1
0,structure148,random,2,1
0,structure149,random,2,1
0,structure14,random,2,1
0,structure150,random,2,1
0,structure151,random,2,1
0,structure152,random,2,1
0,structure153,random,2,1
0,structure154,random,2,1
0,structure155,random,2,1
0,structure156,random,2,1
0,structure157,random,2,1
0,structure158,random,2,1
0,structure159,random,2,1
0,structure15,random,2,1
0,structure160,random,2,1
0,structure161,random,2,1
0,structure162,random,2,1
0,structure163,random,2,1
0,structure164,random,2,1
0,structure165,random,2,1
0,structure166,random,2,1
0,structure167,random,2,1
0,structure168,random,2,1
0,structure169,random,2,1
0,structure16,random,2,1
0,structure170,random,2,1
0,structure171,random,2,1
0,structure172,random,2,1
0,structure173,random,2,1
0,structure174,random,2,1
0,structure175,random,2,1
0,structure176,random,2,1
0,structure177,random,2,1
0,structure178,random,2,1
0,structure179,random,2,1
0,structure17,random,2,1
0,structure180,random,2,1
0,structure181,random,2,1
0,structure182,random,2,1
0,structure183,random,2,1
0,structure184,random,2,1
0,structure185,random,2,1
0,structure186,random,2,1
0,structure187,random,2,1
0,structure188,random,2,1
0,structure189,random,2,1
0,structure18,random,2,1
0,structure190,random,2,1
0,structure191,random,2,1
0,structure192,random,2,1
0,structure193,random,2,1
0,structure194,random,2,1
0,structure195,random,2,1
0,structure196,random,2,1
0,structure197,random,2,1
0,structure198,random,2,1
0,structure199,random,2,1
0,structure19,random,2,1
0,structure1,random,2,1
0,structure200,random,2,1
0,structure20,random,2,1
0,structure21,random,2,1
0,structure22,random,2,1
0,structure23,random,2,1
0,structure24,random,2,1
0,structure25,random,2,1
0,structure26,random,2,1
0,structure27,random,2,1
0,structure28,random,2,1
0,structure29,random,2,1
0,structure2,random,2,1
0,structure30,random,2,1
0,structure31,random,2,1
0,structure32,random,2,1
0,structure33,random,2,1
0,structure34,random,2,1
0,structure35,random,2,1
0,structure36,random,2,1
0,structure37,random,2,1
0,structure38,random,2,1
0,structure39,random,2,1
0,structure3,random,2,1
0,structure40,random,2,1
0,structure41,random,2,1
0,structure42,random,2,1
0,structure43,random,2,1
0,structure44,random,2,1
0,structure45,random,2,1
0,structure46,random,2,1
0,structure47,random,2,1
0,structure48,random,2,1
0,structure49,random,2,1
0,structure4,random,2,1
0,structure50,random,2,1
0,structure51,random,2,1
0,structure52,random,2,1
0,structure53,random,2,1
0,structure54,random,2,1
0,structure55,random,2,1
0,structure56,random,2,1
0,structure57,random,2,1
0,structure58,random,2,1
0,structure59,random,2,1
0,structure5,random,2,1
0,structure60,random,2,1
0,structure61,random,2,1
0,structure62,random,2,1
0,structure63,random,2,1
0,structure64,random,2,1
0,structure65,random,2,1
0,structure66,random,2,1
0,structure67,random,2,1
0,structure68,random,2,1
0,structure69,random,2,1
0,structure6,random,2,1
0,structure70,random,2,1
0,structure71,random,2,1
0,structure72,random,2,1
0,structure73,random,2,1
0,structure74,random,2,1
0,structure75,random,2,1
0,structure76,random,2,1
0,structure77,random,2,1
0,structure78,random,2,1
0,structure79,random,2,1
0,structure7,random,2,1
0,structure80,random,2,1
0,structure81,random,2,1
0,structure82,random,2,1
0,structure83,random,2,1
0,structure84,random,2,1
0,structure85,random,2,1
0,structure86,random,2,1
0,structure87,random,2,1
0,structure88,random,2,1
0,structure89,random,2,1
0,structure8,random,2,1
0,structure90,random,2,1
0,structure91,random,2,1
0,structure92,random,2,1
0,structure93,random,2,1
0,structure94,random,2,1
0,structure95,random,2,1
0,structure96,random,2,1
0,structure97,random,2,1
0,structure98,random,2,1
0,structure99,random,2,1
0,structure9,random,2,1
