structure,Unnamed: 0,folder,interatomic_custom,interatomic_lammps,method,folder_gulp,interatomic_gulp
structure100,0,random,76.4681736817323,76.46817368173299,conj,random,76.45977368
structure101,0,random,184.41470372858086,184.4147037285812,conj,random,184.40927873
structure102,0,random,355.0149136098475,355.01491360985193,conj,random,355.00231361
structure103,0,random,68.24027636255667,68.24027636255694,conj,random,68.23870136
structure104,0,random,32.51983339238676,32.51965839385251,conj,random,32.5172084
structure105,0,random,60.194218919484186,60.19421891948418,conj,random,60.18791893
structure106,0,random,152.51987749902858,152.51987749902833,conj,random,152.5162025
structure107,0,random,184.06922830759947,184.0692283075993,conj,random,184.06030331
structure108,0,random,20.161507953548906,20.16150795354884,conj,random,20.16133295
structure109,0,random,51.40957004625882,51.4095700462589,conj,random,51.40519506
structure10,0,random,67.412364991336,67.4123649913363,conj,random,67.41236499
structure110,0,random,114.44233212343175,114.44233212343184,conj,random,114.43550712
structure111,0,random,76.0406822530351,76.04068225303554,conj,random,76.03858225
structure112,0,random,101.40247474745425,101.40229974892051,conj,random,101.39827475
structure113,0,random,125.61711386479004,125.61693886625565,conj,random,125.61221388
structure114,0,random,144.9049023415659,144.90455234449772,conj,random,144.90070234
structure115,0,random,87.57093614958032,87.56988615837601,conj,random,87.56656116
structure116,0,random,130.94249847456922,130.94249847456874,conj,random,130.93899847
structure117,0,random,13.283752107699351,13.283752107699401,conj,random,13.28060211
structure118,0,random,46.3823578772683,46.382357877268284,conj,random,46.37920788
structure119,0,random,160.81862184871224,160.8186218487118,conj,random,160.81249686
structure11,0,random,116.44767411628618,116.44767411628649,conj,random,116.44469913
structure120,0,random,109.13316009680081,109.13246010266407,conj,random,109.1277351
structure121,0,random,68.22125115988509,68.22125115988557,conj,random,68.21862616
structure122,0,random,83.75542874388178,83.75542874388178,conj,random,83.75315375
structure123,0,random,54.85313868882897,54.85313868882884,conj,random,54.84823869
structure124,0,random,191.17513472299385,191.1751347229937,conj,random,191.16953472
structure125,0,random,16.06118820060215,16.060838203533535,conj,random,16.05733821
structure126,0,random,132.10479627015124,132.10479627015067,conj,random,132.09849629
structure127,0,random,55.43451164667631,55.43451164667649,conj,random,55.43398665
structure128,0,random,233.03626205099118,233.03626205099025,conj,random,233.02961205
structure129,0,random,93.8530549173737,93.85305491737408,conj,random,93.85042992
structure12,0,random,164.04722465725334,164.04722465725303,conj,random,164.03829966
structure130,0,random,104.870981489875,104.87080649134113,conj,random,104.86520651
structure131,0,random,76.33062888621131,76.33062888621157,conj,random,76.32327889
structure132,0,random,28.698009372947197,28.697659375878466,conj,random,28.69363438
structure133,0,random,34.63526908847155,34.635269088471425,conj,random,34.6310691
structure134,0,random,171.03454218920427,171.03454218920297,conj,random,171.02509219
structure135,0,random,47.420674686567395,47.41997469243035,conj,random,47.41699969
structure136,0,random,115.9970909519384,115.99691595340437,conj,random,115.99289096
structure137,0,random,0.4006645961905678,0.40066459619056494,conj,random,0.4006646
structure138,0,random,55.03680000054701,55.03680000054707,conj,random,55.0333
structure139,0,random,66.48240171283604,66.48240171283602,conj,random,66.48240171
structure13,0,random,39.804594342402275,39.804244345333686,conj,random,39.80039435
structure140,0,random,61.89751870344571,61.89681870930879,conj,random,61.8961187
structure141,0,random,68.99199534271273,68.99164534564426,conj,random,68.98814534
structure142,0,random,91.63470551716914,91.63470551716951,conj,random,91.63365552
structure143,0,random,57.26942041989758,57.26942041989755,conj,random,57.26714543
structure144,0,random,74.24877400146043,74.24877400146084,conj,random,74.24317401
structure145,0,random,36.4015861452548,36.4010611496519,conj,random,36.39721116
structure146,0,random,189.6681451303718,189.66814513037198,conj,random,189.65922013
structure147,0,random,30.679503935920742,30.67932893738627,conj,random,30.67547895
structure148,0,random,251.41705271396808,251.41705271396745,conj,random,251.41040271
structure149,0,random,100.1931074389322,100.19310743893257,conj,random,100.19153244
structure14,0,random,120.9562942340082,120.9562942340082,conj,random,120.95471923
structure150,0,random,263.18078219070173,263.1807821907061,conj,random,263.17115719
structure151,0,random,119.31924511022413,119.31854511608731,conj,random,119.31592012
structure152,0,random,101.30280794633087,101.30245794926272,conj,random,101.29983295
