structure,folder,diffs_gnorm_0,diffs_gnorm_1,diffs_gnorm_2,forces_gnorm
structure100,random,17.9680295174417,35.687872116270434,36.31401737525382,97.78775061455286
structure101,random,18.23394697835826,18.1195744190791,8.70513645812544,143.39981829288888
structure102,random,0.19297929710504985,18.324071833301602,0.17690385738710632,145.73243718379533
structure103,random,4.549002384965966,0.006274417248798117,7.924119301578139,88.18270644637359
structure104,random,6.1195198874935715,13.271666075607126,0.03806399834993606,66.99085612476675
structure105,random,0.032833381485748894,13.388467335562117,18.401348099036376,84.99574426298776
structure106,random,13.244296538606521,17.72595078123777,39.24565705243707,149.90467024793054
structure107,random,0.026260413347368537,13.22657486705354,26.5003954272071,127.426655201297
structure108,random,0.5245482158021625,6.841871363757535,0.0004997259242831532,48.992429856753496
structure109,random,0.17270183010128806,0.3388015215829939,0.27889086546993114,71.9310354431038
structure10,random,13.333496906385886,0.07411737630068779,0.0718247717595638,92.04269210600512
structure110,random,0.30694699142402726,0.028256799077635605,0.019150792649401095,131.15544907684952
structure111,random,0.22383999558995146,18.134614140261775,0.21858023587748637,68.54368076790522
structure112,random,18.14878494784838,18.140431972278964,18.146856146808044,115.38790803007896
structure113,random,18.063149718145365,17.881302867152048,0.17315516425151312,120.39445636301275
structure114,random,0.8823291219468199,13.280600777148926,5.801287494532676,117.32091749535547
structure115,random,0.0794005674636347,0.08048271336469716,1.6448752309244863,102.5775725330095
structure116,random,0.5791452008551037,1.2361014566916613,0.04181477942119753,142.03156602794883
structure117,random,0.006780862497218695,0.6021470467148351,13.321721641184796,41.67754178290179
structure118,random,0.016978940169895016,18.13433550725053,18.740313965018714,83.35102508458966
structure119,random,26.688625609137393,13.293902519942808,31.120025184260623,131.7416981198891
structure11,random,7.99209921580891,7.986913302793641,13.895902685028853,122.90988223271921
structure120,random,17.865825035324136,17.375187512933966,18.27042051255529,117.3592656178227
structure121,random,0.0004008951870349219,1.0024962306117915,1.5048541044640276,98.88748426271017
structure122,random,0.007951958411193819,34.623955363171,13.602661559779223,91.68361985698573
structure123,random,36.18845655684108,0.06511828989222555,31.430492861425417,78.45064076981035
structure124,random,0.015735304193354165,0.030726057302350885,17.889886682575877,137.58227654470284
structure125,random,0.06128747178304811,0.04824299328854418,1.4008902839130597,39.89981376801469
structure126,random,13.18093502247814,14.56354926260456,18.294465521142016,103.18644936516229
structure127,random,0.045472936513993006,13.260530573724981,13.277574834700658,79.88012329222023
structure128,random,30.78081330623287,2.8303180500401086,0.041748918106987366,146.2236322302214
structure129,random,1.2501679081819048,10.59064296867552,16.953564300015735,112.04028576807674
structure12,random,44.67627816166399,1.2436435513428015,18.366054975979594,174.00932754620138
structure130,random,41.55939925682901,12.529475133236447,18.367403091813518,115.75926439521592
structure131,random,1.2808065949271903,0.7963012375763795,13.275952446380607,112.84478747694158
structure132,random,17.892882226971118,0.6140321924054889,36.01663612006623,61.84084163382486
structure133,random,18.237198121630403,0.935999328782694,0.10724220058403014,63.59078111736439
structure134,random,36.26553786454508,0.04170082116813748,4.549154659259577,127.68751518069516
structure135,random,0.08690697168187196,0.5192895112632043,0.5528590228963349,73.7034087979182
structure136,random,13.240850850890372,18.32624378538568,1.8137448302225037,114.21301729556349
